"CONTINENT","REGION","WHO_REGION","ADMIN0","ADMIN0ID","ADMIN0_FIP","ADMIN0ISO2","ADMIN0ISO3","ADMIN1","ADMIN1ID","ADMIN2","ADMIN2ID","Alt_ADMIN2","ADMIN3","ADMIN3ID","IUs_ADM","IUs_NAME","IU_ID","IU_CODE","Year","PopTot","PopPreSAC","PopSAC","PopAdult","Endemicity","PopReq","PopTrg","PopTreat","Cov","Cum_MDA","MDA","EffMDA","MDA_n","EffMDA_n","EpiCov","EpiMDA","EpiEffMDA","EpiMDA_n","EpiEffMDA_n","MDA_scheme","JRF_submitted","Endemicity_ID"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2013","239735","33305","66239","131025","Not reported","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2014","247152","42016","69203","126048","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2015","258584","35455","71340","142312","Not reported","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2016","266448","45296","74605","135888","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2013","116597","16198","32216","63725","Not reported","0","0","0","0.0","2","0","0","0","0","0.0","0","0","0","0","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2014","120205","20435","33657","61305","Endemic (under MDA)","120205","94962","84844","89.349999999999994","3","1","1","1","1","70.579999999999998","1","1","1","1","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2015","122220","16758","33719","67264","Not reported","0","0","0","0.0","3","0","0","1","1","0.0","0","0","1","1","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2016","125937","21409","35262","64228","Endemic (under MDA)","125937","104527","99890","95.560000000000002","4","1","1","2","2","79.319999999999993","1","1","2","2","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2017","123046","20918","34453","67675","Endemic (under MDA)","123046","123046","76098","61.850000000000001","5","1","0","3","2","61.850000000000001","1","0","3","2","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2018","123675","17933","34629","71113","Endemic (under MDA)","123675","105742","86188","81.510000000000005","6","1","1","4","3","69.689999999999998","1","1","4","3","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2019","124186","14406","34772","71407","Endemic (MDA not delivered)","124186","0","0","0.0","6","0","0","4","3","0.0","0","0","4","3","Not delivered","1","1"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2020","176469","24000","48635","98717","Endemic (under MDA)","176469","106518","99061","93.0","7","1","1","5","4","56.140000000000001","1","0","5","3","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2021","181135","27170","50718","104153","Endemic (MDA not delivered)","181135","0","0","0.0","7","0","0","5","4","0.0","0","0","5","3","Not delivered","1","1"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2022","185887","24017","50729","104691","Endemic (MDA not delivered)","185887","0","0","0.0","7","0","0","5","4","0.0","0","0","5","3","Not delivered","1","1"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2013","137089","19045","37878","74925","Not reported","0","0","0","0.0","4","0","0","0","0","0.0","0","0","0","0","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2014","141331","24026","39573","72079","Endemic (under MDA)","141331","111652","100876","90.349999999999994","5","1","1","1","1","71.379999999999995","1","1","1","1","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2015","144357","19793","39826","79447","Not reported","0","0","0","0.0","5","0","0","1","1","0.0","0","0","1","1","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2016","148747","25287","41649","75861","Endemic (under MDA)","148747","123460","109962","89.069999999999993","6","1","1","2","2","73.930000000000007","1","1","2","2","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2017","145663","24763","40786","80115","Endemic (under MDA)","145663","145663","122422","84.040000000000006","7","1","1","3","3","84.040000000000006","1","1","3","3","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2018","146741","21277","41087","84376","Endemic (under MDA)","146741","125464","128817","102.67","8","1","1","4","4","87.790000000000006","1","1","4","4","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2019","147682","17131","41351","84917","Endemic (MDA not delivered)","147682","0","0","0.0","8","0","0","4","4","0.0","0","0","4","4","Not delivered","1","1"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2020","194618","26468","53637","108869","Endemic (under MDA)","194618","126958","135918","107.06","9","1","1","5","5","69.840000000000003","1","1","5","5","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2021","199762","29964","55933","114863","Endemic (MDA not delivered)","199762","0","0","0.0","9","0","0","5","5","0.0","0","0","5","5","Not delivered","1","1"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2022","205001","26486","55945","115457","Endemic (MDA not delivered)","205001","0","0","0.0","9","0","0","5","5","0.0","0","0","5","5","Not delivered","1","1"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Chiure","33102",null,null,"0","ADM2","Chiure","33102","MOZ0344333102","2013","237760","33031","65693","129946","Not reported","0","0","0","0.0","2","0","0","0","0","0.0","0","0","0","0","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Chiure","33102",null,null,"0","ADM2","Chiure","33102","MOZ0344333102","2014","245116","41670","68632","125009","Endemic (under MDA)","245116","193641","173101","89.390000000000001","3","1","1","1","1","70.620000000000005","1","1","1","1","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Chiure","33102",null,null,"0","ADM2","Chiure","33102","MOZ0344333102","2015","251447","34476","69371","138384","Not reported","0","0","0","0.0","3","0","0","1","1","0.0","0","0","1","1","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Chiure","33102",null,null,"0","ADM2","Chiure","33102","MOZ0344333102","2016","259093","44046","72546","132137","Endemic (under MDA)","259093","215047","190930","88.790000000000006","4","1","1","2","2","73.689999999999998","1","1","2","2","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Chiure","33102",null,null,"0","ADM2","Chiure","33102","MOZ0344333102","2017","254611","43284","71291","140036","Endemic (under MDA)","254611","254611","237452","93.260000000000005","5","1","1","3","3","93.260000000000005","1","1","3","3","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Chiure","33102",null,null,"0","ADM2","Chiure","33102","MOZ0344333102","2018","257628","37356","72136","148136","Endemic (under MDA)","257628","220272","192947","87.590000000000003","6","1","1","4","4","74.890000000000001","1","1","4","4","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Chiure","33102",null,null,"0","ADM2","Chiure","33102","MOZ0344333102","2019","260659","30236","72984","149879","Endemic (MDA not delivered)","260659","0","0","0.0","6","0","0","4","4","0.0","0","0","4","4","Not delivered","1","1"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Chiure","33102",null,null,"0","ADM2","Chiure","33102","MOZ0344333102","2020","333013","45290","91778","186288","Endemic (under MDA)","333013","225473","229392","101.73999999999999","7","1","1","5","5","68.879999999999995","1","1","5","5","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Chiure","33102",null,null,"0","ADM2","Chiure","33102","MOZ0344333102","2021","342377","51357","95866","196867","Endemic (under MDA)","342377","292733","196649","67.180000000000007","8","1","1","6","6","57.439999999999998","1","0","6","5","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Chiure","33102",null,null,"0","ADM2","Chiure","33102","MOZ0344333102","2022","351931","45469","96042","198207","Endemic (pending IA)","0","0","0","0.0","8","0","0","6","6","0.0","0","0","6","5","Not delivered","1","33"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Cid. Pemba","33103",null,null,"0","ADM2","Cid. Pemba","33103","MOZ0344333103","2013","185017","25703","51120","101120","Not reported","0","0","0","0.0","3","0","0","0","0","0.0","0","0","0","0","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Cid. Pemba","33103",null,null,"0","ADM2","Cid. Pemba","33103","MOZ0344333103","2014","190741","32426","53407","97278","Endemic (under MDA)","190741","150685","129959","86.25","4","1","1","1","1","68.129999999999995","1","1","1","1","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Cid. Pemba","33103",null,null,"0","ADM2","Cid. Pemba","33103","MOZ0344333103","2015","214766","29447","59251","118197","Not reported","0","0","0","0.0","4","0","0","1","1","0.0","0","0","1","1","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Cid. Pemba","33103",null,null,"0","ADM2","Cid. Pemba","33103","MOZ0344333103","2016","221297","37620","61963","112861","Endemic (under MDA)","221297","183676","161230","87.780000000000001","5","1","1","2","2","72.859999999999999","1","1","2","2","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Cid. Pemba","33103",null,null,"0","ADM2","Cid. Pemba","33103","MOZ0344333103","2017","218152","37086","61083","119984","Endemic (under MDA)","218152","218152","176003","80.680000000000007","6","1","1","3","3","80.680000000000007","1","1","3","3","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Cid. Pemba","33103",null,null,"0","ADM2","Cid. Pemba","33103","MOZ0344333103","2018","228168","33084","63887","131197","Endemic (under MDA)","228168","195084","173722","89.049999999999997","7","1","1","4","4","76.140000000000001","1","1","4","4","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Cid. Pemba","33103",null,null,"0","ADM2","Cid. Pemba","33103","MOZ0344333103","2019","238680","27687","66830","137241","Endemic (MDA not delivered)","238680","0","0","0.0","7","0","0","4","4","0.0","0","0","4","4","Not delivered","1","1"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Cid. Pemba","33103",null,null,"0","ADM2","Cid. Pemba","33103","MOZ0344333103","2020","227395","30926","62670","127205","Endemic (under MDA)","227395","213484","193300","90.549999999999997","8","1","1","5","5","85.010000000000005","1","1","5","5","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Cid. Pemba","33103",null,null,"0","ADM2","Cid. Pemba","33103","MOZ0344333103","2021","235245","35287","65869","135266","Endemic (under MDA)","235245","201135","180960","89.969999999999999","9","1","1","6","6","76.920000000000002","1","1","6","6","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Cid. Pemba","33103",null,null,"0","ADM2","Cid. Pemba","33103","MOZ0344333103","2022","243295","31434","66395","137024","Endemic (pending IA)","0","0","0","0.0","9","0","0","6","6","0.0","0","0","6","6","Not delivered","1","33"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ibo","33104",null,null,"0","ADM2","Ibo","33104","MOZ0344333104","2013","11086","1540","3063","6059","Not reported","0","0","0","0.0","2","0","0","0","0","0.0","0","0","0","0","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ibo","33104",null,null,"0","ADM2","Ibo","33104","MOZ0344333104","2014","11429","1943","3200","5829","Endemic (under MDA)","11429","9029","7389","81.840000000000003","3","1","1","1","1","64.650000000000006","1","0","1","0","ALB+IVM","1","2"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ibo","33104",null,null,"0","ADM2","Ibo","33104","MOZ0344333104","2015","12058","1653","3327","6636","Not reported","0","0","0","0.0","3","0","0","1","1","0.0","0","0","1","0","Not delivered","0","999"
