"CONTINENT","REGION","WHO_REGION","ADMIN0","ADMIN0ID","ADMIN0_FIP","ADMIN0ISO2","ADMIN0ISO3","ADMIN1","ADMIN1ID","ADMIN2","ADMIN2ID","Alt_ADMIN2","ADMIN3","ADMIN3ID","IUs_ADM","IUs_NAME","IU_ID","IU_CODE","Year","Endemicity","TargetPop","PopReq","PopTrg","PopTreat","Cov","PC","EffPC","PC_n","EffPC_n","EpiCov","EpiPC","EpiEffPC","EpiPC_n","EpiEffPC_n","MDA_scheme","JRF_submitted","Endemicity_ID"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2013","Not reported","Adults","0","0","0","0.0","0","0","0","0","0.0","0","0","0","0","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2014","Low prevalence (less than 10%)","Adults","0","0","0","0.0","0","0","0","0","0.0","0","0","0","0","PZQ+ALB/MBD","1","10"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2015","Not reported","Adults","0","0","0","0.0","0","0","0","0","0.0","0","0","0","0","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2016","Low prevalence (less than 10%)","Adults","0","0","0","0.0","0","0","0","0","0.0","0","0","0","0","PZQ+ALB/MBD","1","10"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2013","Not reported","SAC","0","0","0","0.0","0","0","0","0","0.0","0","0","0","0","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2014","Low prevalence (less than 10%)","SAC","22837","69203","57857","83.599999999999994","1","1","1","1","253.34999999999999","1","1","1","1","PZQ+ALB/MBD","1","10"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2015","Not reported","SAC","0","0","0","0.0","0","0","1","1","0.0","0","0","1","1","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2016","Low prevalence (less than 10%)","SAC","24620","24620","57374","233.03999999999999","1","1","2","2","233.03999999999999","1","1","2","2","PZQ+ALB/MBD","1","10"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2013","Not reported","Total","0","0","0","0.0","0","0","0","0","0.0","0","0","0","0","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2014","Low prevalence (less than 10%)","Total","22837","69203","57857","83.599999999999994","1","1","1","1","253.34999999999999","1","1","1","1","PZQ+ALB/MBD","1","10"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2015","Not reported","Total","0","0","0","0.0","0","0","1","1","0.0","0","0","1","1","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2016","Low prevalence (less than 10%)","Total","24620","24620","57374","233.03999999999999","1","1","2","2","233.03999999999999","1","1","2","2","PZQ+ALB/MBD","1","10"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2013","Not reported","Adults","0","0","0","0.0","0","0","0","0","0.0","0","0","0","0","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2014","High prevalence (50% and above)","Adults","61305","0","0","0.0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2015","Not reported","Adults","0","0","0","0.0","0","0","0","0","0.0","0","0","0","0","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2016","High prevalence (50% and above)","Adults","64228","0","0","0.0","0","0","0","0","0.0","0","0","0","0","PZQ","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2017","High prevalence (50% and above)","Adults","67675","76781","32749","42.649999999999999","1","0","1","0","48.390000000000001","1","0","1","0","PZQ","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2018","High prevalence (50% and above)","Adults","71113","0","0","0.0","0","0","1","0","0.0","0","0","1","0","PZQ","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2019","High prevalence (50% and above)","Adults","71407","0","0","0.0","0","0","1","0","0.0","0","0","1","0","Not delivered","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2020","High prevalence (50% and above)","Adults","98717","0","0","0.0","0","0","1","0","0.0","0","0","1","0","PZQ","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2021","High prevalence (50% and above)","Adults","104153","0","0","0.0","0","0","1","0","0.0","0","0","1","0","Not delivered","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2022","High prevalence (50% and above)","Adults","104691","0","0","0.0","0","0","1","0","0.0","0","0","1","0","PZQ+ALB/MBD","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2013","Not reported","SAC","0","0","0","0.0","0","0","0","0","0.0","0","0","0","0","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2014","High prevalence (50% and above)","SAC","33657","0","0","0.0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2015","Not reported","SAC","0","0","0","0.0","0","0","0","0","0.0","0","0","0","0","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2016","High prevalence (50% and above)","SAC","35262","35262","32161","91.209999999999994","1","1","1","1","91.209999999999994","1","1","1","1","PZQ","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2017","High prevalence (50% and above)","SAC","34453","34453","34355","99.719999999999999","1","1","2","2","99.719999999999999","1","1","2","2","PZQ","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2018","High prevalence (50% and above)","SAC","34629","34629","43493","125.59999999999999","1","1","3","3","125.59999999999999","1","1","3","3","PZQ","1","6"
