"CONTINENT","REGION","WHO_REGION","ADMIN0","ADMIN0ID","ADMIN0_FIP","ADMIN0ISO2","ADMIN0ISO3","ADMIN1","ADMIN1ID","ADMIN2","ADMIN2ID","Alt_ADMIN2","ADMIN3","ADMIN3ID","IUs_ADM","IUs_NAME","IU_ID","IU_CODE","Year","Endemicity","TargetPop","PopReq","PopTrg","PopTreat","Cov","PC","EffPC","PC_n","EffPC_n","EpiCov","EpiPC","EpiEffPC","EpiPC_n","EpiEffPC_n","MDA_scheme","JRF_submitted","Endemicity_ID"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2013","Not reported","PreSAC","0","0","0","0.0","0","0","0","0","0.0","0","0","0","0","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2014","Moderate prevalence (20%-49%)","PreSAC","42016","0","0","0.0","0","0","0","0","0.0","0","0","0","0","PZQ+ALB/MBD","1","7"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2015","Not reported","PreSAC","0","0","0","0.0","0","0","0","0","0.0","0","0","0","0","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2016","Moderate prevalence (20%-49%)","PreSAC","45296","0","0","0.0","0","0","0","0","0.0","0","0","0","0","PZQ+ALB/MBD","1","7"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2013","Not reported","SAC","0","0","0","0.0","0","0","0","0","0.0","0","0","0","0","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2014","Moderate prevalence (20%-49%)","SAC","69203","69203","57857","83.599999999999994","1","1","1","1","83.599999999999994","1","1","1","1","PZQ+ALB/MBD","1","7"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2015","Not reported","SAC","0","0","0","0.0","0","0","1","1","0.0","0","0","1","1","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2016","Moderate prevalence (20%-49%)","SAC","74605","74605","57374","76.900000000000006","1","1","2","2","76.900000000000006","1","1","2","2","PZQ+ALB/MBD","1","7"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2013","Not reported","Total","0","0","0","0.0","0","0","0","0","0.0","0","0","0","0","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Gaza","3445","Xai-Xai Dist","33099",null,null,"0","ADM2","Xai-Xai Dist","33099","MOZ0344533099","2014","Moderate prevalence (20%-49%)","Total","111219","69203","57857","83.599999999999994","1","1","1","1","52.020000000000003","1","0","1","0","PZQ+ALB/MBD","1","7"
